,RK,PLAYER,TEAM,GP,PPG,FTM,FTA,total_FTM,total_FTA,FT%
486,7,"Raymond Anthony, G",LAM,29,15.5,2.4,2.6,69,76,0.908
487,8,"Terry Williams, G",GASO,29,12.1,2.8,3.1,81,90,0.9
488,9,"Delonte West, G",JOES,28,18.8,4.0,4.5,112,126,0.889
489,10,"Gerry McNamara, G",SYR,28,16.2,3.4,3.9,96,108,0.889
490,11,"Ilian Evtimov, F-C",NCST,29,9.3,2.4,2.8,71,80,0.888
491,12,"Leon Pattman, G",DART,26,13.2,2.7,3.0,70,79,0.886
492,13,"Travis Diener, G",MARQ,28,19.0,4.4,5.0,124,140,0.886
493,14,"John Lucas III, G",OKST,30,15.4,2.6,2.9,77,87,0.885
494,15,"Anthony Winchester, G",WKU,28,14.1,2.6,2.9,72,82,0.878
495,16,"Royce Parran, G",CHS,32,8.4,2.5,2.8,79,90,0.878
496,17,"Cardell Butler, G",USU,28,14.0,2.3,2.6,64,73,0.877
497,18,"Lester Abram, G-F",MICH,28,13.4,3.9,4.4,108,124,0.871
498,19,"Luke Jackson, F",ORE,27,21.1,5.2,6.0,141,162,0.87
499,20,"Terrence Woods, G",FAMU,29,20.1,3.4,4.0,100,115,0.87
500,21,"Luis Flores, G",MAN,29,24.1,6.9,7.9,199,229,0.869
501,22,"Ryan Gomes, F",PROV,28,18.6,4.7,5.4,132,152,0.868
502,23,"Pooh Jeter, G",PORT,28,16.6,3.3,3.8,92,106,0.868
503,24,"Trey Guidry, G",ILST,29,15.2,2.5,2.9,72,83,0.867
504,25,"Jakob Sigurdarson, G",BSC,27,14.7,3.1,3.6,84,97,0.866
505,26,"Sergio Sanchez, G",TRGV,28,12.9,3.0,3.5,84,97,0.866
506,27,"Kenneth Lowe, G",PUR,27,13.6,4.3,5.0,116,134,0.866
507,28,"Paul Marigney, G",SMC,31,16.0,3.3,3.8,103,119,0.866
508,29,"Michael Watson, G",UMKC,29,23.4,4.6,5.3,134,155,0.865
