,PLAYER,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%,RK,YEAR
91,"Reggie Borges, F",ORU,28,30.7,18.0,6.3-12.4,.504,0.3-1.0,.241,5.3-7.0,.746,92,2003
92,"Nate Williams, F-C",GAST,29,36.6,18.0,6.8-13.1,.517,0.0-0.1,.000,4.4-5.9,.750,93,2003
93,"Ryan McDade, F",NAU,28,29.8,18.0,7.4-14.7,.501,0.1-0.5,.231,3.1-6.0,.524,94,2003
94,"Blake Stepp, G",GONZ,31,35.2,17.9,5.3-12.1,.439,3.0-7.2,.415,4.4-5.3,.828,95,2003
95,"Matt Freije, F",VAN,29,31.1,17.9,6.1-13.9,.443,2.2-6.4,.351,3.4-4.3,.798,96,2003
96,"Antonio Meeking, F",LT,27,33.5,17.9,6.5-13.1,.496,0.0-0.0,.000,4.9-7.1,.688,97,2003
97,"Marquis Daniels, F",AUB,31,33.6,17.9,6.9-13.6,.511,0.9-2.9,.303,3.2-4.6,.685,98,2003
98,"Donta Richardson, G",WYO,30,31.5,17.8,5.5-12.7,.436,1.9-5.1,.370,4.8-6.0,.810,99,2003
99,"Julius Hodge, G-F",NCST,30,35.0,17.8,5.3-12.2,.438,1.4-4.1,.336,5.8-7.1,.812,100,2003
100,"Dylan Page, F",MILW,31,28.6,17.7,6.6-10.9,.608,0.5-1.7,.308,4.0-5.1,.785,101,2003
101,"Edward Scott, G",CLEM,28,38.5,17.7,5.9-15.3,.386,1.6-4.3,.367,4.4-5.9,.739,102,2003
102,"Drew Nicholas, G",MD,28,31.3,17.7,5.8-13.2,.442,2.3-5.6,.411,3.7-4.4,.846,103,2003
103,"Alan (Junior) Blount, G",TCU,28,33.0,17.7,5.4-13.2,.411,2.8-7.7,.358,4.1-4.6,.884,104,2003
104,"Kyle Korver, F",CREI,33,31.7,17.7,5.3-11.4,.467,3.8-7.9,.477,3.2-3.6,.907,105,2003
105,"Reece Gaines, G",LOU,30,32.1,17.7,5.4-11.8,.456,2.2-5.8,.376,4.8-6.4,.741,106,2003
106,"Leroy Hurd, F",UTSA,22,32.6,17.6,6.0-12.0,.498,1.3-3.4,.378,4.5-5.9,.754,107,2003
107,"David Bell, G",MONT,30,32.5,17.6,5.4-13.0,.415,3.3-8.4,.387,3.6-4.3,.836,108,2003
108,"Donald Cole, F",SHSU,29,28.0,17.6,6.4-11.9,.542,1.1-2.7,.392,3.7-5.3,.693,109,2003
109,"Kirk Hinrich, G",KU,31,33.5,17.6,6.4-13.0,.490,2.3-5.5,.424,2.5-3.7,.693,110,2003
110,"Delonte West, G",JOES,25,30.1,17.6,6.4-13.2,.483,2.1-5.6,.379,2.7-3.4,.810,111,2003
111,"Marque Perry, G",SLU,29,36.2,17.5,6.2-14.1,.441,0.7-2.6,.267,4.4-5.5,.800,112,2003
112,"Varnie Dennis, F",CP,28,31.8,17.5,6.3-13.6,.463,1.0-3.0,.349,3.9-5.2,.740,113,2003
113,"Chez Marks, G",MORE,29,24.5,17.4,6.2-11.6,.540,2.8-6.2,.456,2.1-2.5,.849,114,2003
114,"Johnny Hollingsworth, G",AKR,28,35.7,17.4,5.7-11.2,.506,0.8-2.0,.386,5.3-6.9,.771,115,2003
115,"D.J. Munir, G",STON,20,33.3,17.4,5.6-13.2,.422,1.9-5.3,.358,4.4-5.0,.889,116,2003
116,"Tim Henderson, F",JKST,28,33.4,17.4,5.8-13.0,.441,2.0-6.0,.341,3.9-5.5,.701,117,2003
117,"Bryant Matthews, G-F",VT,29,34.4,17.3,6.1-14.7,.418,1.4-4.1,.336,3.7-6.3,.588,118,2003
118,"Tremmell Darden, G",NIAG,29,36.5,17.3,5.9-12.2,.480,1.0-3.0,.330,4.6-6.4,.720,119,2003
119,"Paul Haynes, F",GRAM,30,32.1,17.3,5.9-13.9,.423,1.0-3.8,.252,4.6-6.2,.742,120,2003
0,"Keydren (Keekee) Clark, G",SPU,29,38.8,26.7,8.0-19.4,.415,3.9-10.2,.380,6.8-8.1,.838,1,2004
1,"Kevin Martin, G",WCU,27,31.2,24.9,7.7-16.3,.474,1.9-5.6,.336,7.6-9.3,.817,2,2004
2,"Taylor Coppenrath, F",UVM,23,36.2,24.7,8.7-16.6,.525,0.5-1.7,.316,6.7-9.0,.752,3,2004
3,"David Hawkins, G",TEM,28,38.8,24.4,7.7-19.6,.393,2.9-9.5,.309,6.1-8.0,.756,4,2004
4,"Luis Flores, G",MAN,29,36.1,24.1,7.5-16.9,.446,2.2-5.8,.373,6.9-7.9,.869,5,2004
5,"Michael Watson, G",UMKC,29,37.9,23.4,7.8-19.2,.403,3.3-8.9,.374,4.6-5.3,.865,6,2004
6,"Mike Helms, G",OAK,30,30.7,23.2,7.5-18.5,.403,2.6-7.6,.346,5.6-7.5,.750,7,2004
7,"Odell Bradley, F",IUPU,29,37.6,23.1,8.1-16.8,.483,1.1-3.4,.313,5.9-7.7,.762,8,2004
8,"Ike Diogu, F-C",ASU,27,36.9,22.8,6.6-12.5,.530,0.5-1.4,.378,9.0-11.0,.815,9,2004
9,"Derrick Tarver, G",AKR,27,31.3,22.7,7.3-14.8,.490,1.7-5.6,.311,6.4-8.5,.752,10,2004
10,"Bryant Matthews, G-F",VT,29,35.4,22.1,7.6-16.0,.473,1.1-3.0,.360,5.9-8.9,.664,11,2004
11,"Andrew Wisniewski, G",CENT,28,35.0,21.9,7.0-13.7,.512,2.4-5.6,.418,5.5-7.0,.786,12,2004
12,"Ricky Minard, G-F",MORE,29,34.3,21.8,7.2-16.1,.451,1.6-4.8,.326,5.7-7.4,.776,13,2004
13,"Kris Humphries, F",MINN,29,34.1,21.7,7.6-17.2,.444,0.6-1.7,.340,5.9-7.9,.742,14,2004
14,"Luke Jackson, F",ORE,27,34.5,21.1,6.7-14.0,.480,2.4-5.5,.443,5.2-6.0,.870,15,2004
15,"Dylan Page, F",MILW,29,31.7,20.8,7.2-14.4,.502,1.9-4.7,.409,4.3-5.6,.773,16,2004
16,"Andre Emmett, G",TTU,32,36.8,20.7,7.7-14.7,.523,0.4-1.3,.341,4.9-6.7,.734,17,2004
17,"J.J. Barea, G",NE,26,34.2,20.7,6.9-18.0,.385,2.8-7.8,.358,4.0-5.6,.719,18,2004
18,"Ken Tutt, G",ORU,28,35.4,20.7,6.9-15.4,.447,3.6-8.0,.449,3.3-3.9,.844,19,2004
19,"Juan Mendez, F",NIAG,30,33.5,20.3,6.4-12.2,.522,0.5-1.8,.264,7.1-8.8,.810,20,2004
20,"Adam Hess, F",W&M;,28,36.0,20.3,6.9-16.5,.421,2.0-6.8,.302,4.4-5.8,.755,21,2004
21,"Ka'Ron Barnes, G",COR,27,35.1,20.1,6.8-16.6,.412,2.1-6.0,.348,4.4-5.7,.774,22,2004
22,"Rashad McCants, G-F",UNC,28,31.8,20.1,7.2-14.8,.484,2.6-6.2,.414,3.2-4.3,.748,23,2004
23,"Terrence Woods, G",FAMU,29,30.0,20.1,6.1-14.8,.413,4.4-11.2,.398,3.4-4.0,.870,24,2004
24,"Maurice Bailey, G",SHU,27,33.0,20.1,6.4-15.9,.407,1.5-4.7,.317,5.7-6.9,.824,25,2004
25,"Jameer Nelson, G",JOES,28,33.4,20.0,7.1-14.8,.482,2.2-5.7,.390,3.6-4.6,.789,26,2004
26,"Devin Harris, G",WIS,30,36.3,19.7,6.0-13.1,.459,2.3-6.2,.369,5.4-6.9,.791,27,2004
27,"Jermaine Robinson, G",CLEV,29,36.5,19.6,6.3-16.4,.382,2.2-7.6,.285,4.9-7.5,.650,28,2004
28,"Hakim Warrick, F",SYR,28,37.3,19.6,7.1-14.0,.512,0.0-0.2,.000,5.3-7.7,.685,29,2004
29,"Keith Triplett, G",TOL,30,33.3,19.6,6.6-13.9,.474,2.1-5.0,.413,4.4-5.4,.809,30,2004
30,"Willie Jenkins, F-C",TNTC,28,32.8,19.5,7.1-15.1,.474,1.5-4.1,.368,3.7-5.2,.712,31,2004
31,"Danny Granger, F",UNM,22,32.0,19.5,6.2-12.6,.491,1.1-3.3,.333,6.0-8.0,.760,32,2004
32,"Marques Green, G",SBON,27,39.4,19.4,6.4-17.3,.368,3.6-10.2,.356,3.1-4.0,.769,33,2004
33,"Desmon Farmer, G",USC,28,35.3,19.4,6.1-15.6,.389,3.0-8.9,.333,4.3-5.7,.761,34,2004
34,"Leroy Hurd, F",UTSA,32,34.2,19.4,6.4-13.3,.479,1.3-3.3,.393,5.3-6.8,.784,35,2004
35,"Chris Thomas, G",ND,29,38.2,19.4,6.5-16.9,.386,2.8-8.2,.345,3.5-4.2,.836,36,2004
36,"Brion Rush, G",GRAM,29,34.6,19.3,6.6-15.9,.413,3.1-8.3,.379,3.1-4.1,.756,37,2004
37,"Tee Trotter, G",UMES,28,35.9,19.3,6.0-15.9,.378,2.4-7.0,.345,4.9-5.7,.850,38,2004
38,"Dewarick Spencer, G",ARST,28,33.8,19.0,6.2-13.0,.478,3.1-6.7,.457,3.5-4.4,.798,39,2004
39,"Marquis Poole, G",IDST,28,33.8,19.0,7.1-14.5,.490,0.4-1.2,.353,4.3-6.6,.658,40,2004
40,"Travis Diener, G",MARQ,28,34.7,19.0,5.8-13.8,.421,3.0-6.5,.456,4.4-5.0,.886,41,2004
41,"Thurman Zimmerman, G-F",SCST,29,33.4,18.8,6.1-12.0,.513,0.6-2.2,.286,5.9-7.6,.778,42,2004
42,"Delonte West, G",JOES,28,32.9,18.8,6.5-12.8,.510,1.8-4.1,.430,4.0-4.5,.889,43,2004
43,"Mike Williams, F",WMU,30,28.4,18.8,7.3-13.6,.536,0.0-0.1,.333,4.2-5.4,.773,44,2004
44,"Kirk Snyder, G",NEV,31,31.4,18.7,6.2-14.1,.439,1.5-4.3,.346,4.8-6.7,.718,45,2004
45,"Jerry Johnson, G",RID,31,37.0,18.7,6.1-14.8,.413,2.7-6.8,.400,3.7-4.5,.816,46,2004
46,"Ryan Gomes, F",PROV,28,34.6,18.6,6.5-12.8,.507,1.0-3.0,.337,4.7-5.4,.868,47,2004
47,"Adam Mark, F",BEL,29,34.1,18.6,7.8-11.8,.658,0.3-0.8,.364,2.8-4.6,.612,48,2004
48,"Michael Haynes, G-F",FOR,27,33.2,18.6,7.0-15.4,.453,1.9-5.0,.370,2.7-4.8,.566,49,2004
49,"Julius Hodge, G-F",NCST,29,34.7,18.6,6.2-12.0,.513,0.9-2.4,.377,5.3-6.4,.828,50,2004
50,"Cedrick Banks, G",UIC,31,33.7,18.5,6.8-15.2,.446,2.8-6.4,.437,2.2-2.8,.779,51,2004
51,"Matt Freije, F",VAN,30,29.5,18.5,5.7-13.5,.421,1.9-5.2,.361,5.3-6.7,.787,52,2004
52,"Dexter Lyons, F",UCF,30,30.4,18.5,6.5-12.7,.510,2.3-5.1,.455,3.2-4.5,.704,53,2004
53,"Bracey Wright, G",IND,29,38.3,18.5,5.6-14.9,.374,2.4-7.0,.343,4.9-6.2,.789,54,2004
54,"Emeka Okafor, F-C",CONN,30,32.9,18.5,7.6-12.7,.603,0.0-0.0,.000,3.2-6.3,.511,55,2004
55,"Justin Reed, F",MISS,28,33.5,18.5,6.9-14.9,.464,0.5-2.1,.237,4.2-5.7,.731,56,2004
56,"Varnie Dennis, F",CP,26,33.1,18.3,7.0-14.3,.493,0.3-1.5,.200,3.9-5.3,.732,57,2004
57,"Rafael Araujo, C",BYU,29,29.8,18.2,7.0-12.2,.572,0.3-1.0,.276,4.0-5.6,.716,58,2004
58,"Obie Trotter, G",AAMU,29,32.8,18.2,5.9-13.8,.430,2.2-6.2,.363,4.1-5.3,.766,59,2004
59,"Ashley Champion, F",CHAT,30,31.9,18.1,6.2-11.2,.555,1.1-2.9,.368,4.6-6.1,.750,60,2004
60,"Ben Gordon, G",CONN,33,34.0,18.1,6.1-13.8,.442,2.7-6.1,.446,3.1-3.8,.803,61,2004
61,"Ron Robinson, F",CCSU,27,36.5,18.0,6.8-14.1,.480,0.1-0.6,.125,4.4-5.9,.748,62,2004
62,"Sean Banks, F",MEM,28,34.4,18.0,5.6-12.5,.446,2.1-5.6,.385,4.7-6.4,.733,63,2004
63,"Michael Kuebler, G-F",HAW,30,35.5,18.0,6.3-14.1,.447,2.9-7.3,.395,2.5-3.2,.763,64,2004
64,"David Simon, C",IPFW,28,31.4,18.0,6.7-11.5,.584,0.1-0.1,1.000,4.5-6.9,.648,65,2004
65,"Mike Bell, F",FAU,27,36.4,18.0,7.1-15.5,.461,1.6-5.2,.312,2.0-3.8,.539,66,2004
66,"Tremmell Darden, G",NIAG,30,34.7,17.9,5.8-12.0,.483,1.5-4.1,.366,4.8-6.6,.729,67,2004
67,"Scooter McFadgon, G",TENN,27,31.4,17.9,5.4-13.3,.403,2.4-6.1,.394,4.8-5.3,.908,68,2004
68,"Jitim Young, G",NW,29,38.2,17.9,6.3-11.8,.534,1.1-3.5,.317,4.2-6.6,.647,69,2004
69,"Gary Neal, G",LAS,28,32.8,17.9,5.8-14.1,.412,2.3-6.8,.339,4.0-4.7,.847,70,2004
70,"J.J. Montgomery, G",ARST,28,35.8,17.9,5.6-13.4,.419,0.5-2.3,.231,6.1-8.0,.771,71,2004
71,"Glen McGowan, F",PEPP,29,30.0,17.8,6.2-12.6,.492,0.8-2.7,.299,4.6-6.6,.698,72,2004
72,"Brendan Winters, G-F",DAV,29,33.6,17.8,5.4-12.8,.422,2.6-6.7,.385,4.4-5.3,.837,73,2004
73,"Anthony Roberson, G",FLA,29,31.1,17.8,6.0-13.0,.459,3.3-7.8,.427,2.5-3.0,.849,74,2004
74,"Wayne Simien, F",KU,28,32.8,17.8,6.5-12.0,.539,0.1-0.4,.200,4.8-5.9,.801,75,2004
75,"Bryan Hopkins, G",SMU,29,34.1,17.7,5.9-13.3,.440,2.9-7.2,.404,3.1-3.9,.796,76,2004
76,"Mike Harris, F",RICE,32,30.8,17.7,6.7-11.0,.606,0.5-1.0,.485,3.8-5.5,.695,77,2004
77,"Landy Thompson, G",MSM,29,35.8,17.7,5.8-15.1,.387,2.4-6.8,.362,3.6-4.8,.736,78,2004
78,"Rawle Marshall, G",OAK,30,34.9,17.6,6.1-13.4,.453,1.4-3.6,.389,4.1-6.0,.678,79,2004
79,"Bruce Price, G",TNST,27,35.4,17.6,5.0-14.4,.344,2.6-7.7,.341,5.0-6.9,.735,80,2004
80,"Paul Haynes, F",GRAM,29,31.9,17.6,6.2-13.1,.476,0.8-2.4,.329,4.3-6.3,.683,81,2004
81,"Darshan Luckey, G",SFU,28,34.3,17.6,5.8-14.6,.400,1.1-3.3,.333,4.8-6.1,.789,82,2004
82,"Andre Barrett, G",HALL,29,35.9,17.6,6.1-13.3,.457,2.4-6.1,.392,3.0-4.0,.765,83,2004
83,"Whit Holcomb-Faye, G",RAD,27,35.6,17.5,5.6-14.6,.381,1.5-4.9,.308,4.9-6.9,.714,84,2004
84,"Rashaun Banjo, F",QUIN,28,32.9,17.5,6.6-13.7,.479,1.4-3.3,.409,3.0-4.0,.748,85,2004
85,"Julius (Juby) Johnson, G",M-OH,29,35.4,17.4,5.2-13.3,.392,1.5-5.4,.282,5.5-7.1,.776,86,2004
86,"Tim Smith, G",ETSU,31,35.5,17.4,6.3-14.9,.421,1.0-3.4,.298,3.8-5.0,.756,87,2004
87,"Craig Smith, F",BC,32,33.2,17.3,7.1-12.8,.553,0.2-0.6,.389,3.0-5.3,.571,88,2004
88,"Odartey Blankson, F",UNLV,30,34.5,17.3,5.9-11.4,.519,0.9-2.5,.373,4.5-5.7,.791,89,2004
89,"Jason Erickson, G",MTST,27,37.9,17.3,6.2-11.8,.524,1.9-4.1,.464,3.0-3.6,.854,90,2004
90,"Hassan Adams, G",ARIZ,29,30.6,17.3,6.7-12.5,.539,1.3-3.4,.378,2.6-3.5,.743,91,2004
91,"Pape Sow, F",CSF,28,32.2,17.3,5.7-11.6,.494,0.3-0.9,.333,5.6-8.3,.675,92,2004
92,"Aaron Bond, F",NAU,28,27.5,17.3,5.9-12.4,.477,1.6-4.0,.398,3.8-4.8,.793,93,2004
93,"David Lucas, F",ORST,28,29.3,17.2,6.6-12.9,.511,0.0-0.1,.333,4.0-4.9,.816,94,2004
94,"Justin Gray, G",WAKE,28,29.6,17.2,5.4-13.2,.408,3.1-8.3,.379,3.3-4.0,.821,95,2004
95,"Allan Ray, G",NOVA,32,34.5,17.2,5.8-13.2,.442,2.5-6.4,.397,3.0-3.8,.779,96,2004
96,"E.J. Gallup, G",CCAR,29,30.8,17.2,6.1-13.4,.452,3.0-6.8,.434,2.1-2.3,.896,97,2004
97,"Caleb Green, F",ORU,28,31.4,17.1,6.3-10.7,.590,0.0-0.0,.000,4.5-6.3,.712,98,2004
98,"Ed McCants, G",MILW,29,30.8,17.1,6.0-12.4,.481,3.3-7.8,.427,1.9-2.2,.831,99,2004
99,"Gerrit Brigitha, F-C",CMU,30,31.9,17.1,6.1-10.8,.570,0.0-0.1,.000,4.8-6.7,.718,100,2004
100,"Steven Smith, F",LAS,30,35.2,17.1,6.2-13.6,.457,1.1-3.4,.327,3.5-4.3,.820,101,2004
101,"Gerald Riley, F",GTWN,28,33.1,17.0,5.5-13.3,.411,1.7-4.6,.367,4.4-5.3,.844,102,2004
102,"Marcus Barnes, G",NE,28,32.8,17.0,5.3-14.4,.364,2.9-8.6,.336,3.6-4.8,.767,103,2004
103,"Jay Joseph, G-F",UNCG,28,33.0,17.0,5.9-13.9,.423,2.6-7.1,.370,2.6-3.1,.839,104,2004
104,"Chaz McCrommon, G",RMU,29,38.6,17.0,6.4-12.3,.520,1.0-2.5,.397,3.2-4.1,.773,105,2004
105,"Paul McMillan, F",L-IL,29,31.9,17.0,6.5-14.2,.456,0.3-1.3,.243,3.7-5.1,.730,106,2004
106,"Lawrence Roberts, F",MSST,28,33.0,17.0,5.9-11.3,.521,0.3-1.3,.257,4.9-7.8,.628,107,2004
107,"Chez Marks, G",MORE,23,27.3,17.0,6.1-11.4,.536,2.4-5.8,.414,2.3-2.7,.857,108,2004
108,"Ron Lewis, G",BGSU,31,33.8,17.0,4.7-11.8,.396,1.5-4.3,.336,6.2-7.5,.820,109,2004
109,"Brice Vounang, F-C",USD,28,30.9,16.9,6.9-12.6,.550,0.0-0.1,.000,3.1-4.2,.729,110,2004
110,"Jaime Lloreda, F",LSU,22,34.5,16.9,6.4-11.0,.581,0.0-0.2,.000,4.2-7.7,.541,111,2004
111,"Jason Parker, G",TLSA,29,35.5,16.9,5.8-15.0,.389,1.8-4.7,.375,3.5-4.5,.771,112,2004
112,"Kennedy Winston, F",ALA,29,34.1,16.9,5.8-12.9,.451,1.4-3.6,.400,3.8-5.2,.727,113,2004
113,"Darius Rice, F",MIA,28,31.5,16.9,5.9-14.6,.407,2.0-6.4,.306,3.0-3.8,.802,114,2004
114,"Roshaun Bowens, F",TNST,28,31.9,16.9,6.9-13.7,.500,0.5-0.9,.538,2.6-3.9,.685,115,2004
115,"David Harrison, C",COLO,28,31.4,16.8,6.3-10.0,.626,0.0-0.0,.000,4.3-8.1,.527,116,2004
116,"E.J. Gordon, G-F",STET,27,34.3,16.8,6.1-15.9,.384,0.4-1.7,.213,4.2-6.3,.667,117,2004
117,"Nick Jacobson, G",UTAH,32,35.2,16.8,5.6-12.5,.448,3.0-6.7,.453,2.6-3.1,.837,118,2004
118,"Jason Forte, G",BRWN,26,34.2,16.8,5.5-12.1,.459,1.2-3.0,.397,4.5-5.7,.796,119,2004
119,"Delonte Holland, F",DEP,30,33.8,16.8,6.2-12.9,.477,0.8-2.1,.359,3.7-4.6,.803,120,2004
0,"Keydren (Keekee) Clark, G",SPU,28,38.7,25.8,8.2-20.3,.406,3.9-10.6,.367,5.4-6.5,.835,1,2005
1,"Taylor Coppenrath, F",UVM,29,36.0,25.7,9.0-16.7,.536,0.3-1.1,.281,7.4-9.7,.771,2,2005
2,"Ronnie Price, G",UVU,28,37.2,24.3,8.2-19.1,.427,2.9-8.0,.359,5.1-6.4,.789,3,2005
3,"Juan Mendez, F",NIAG,29,34.3,23.6,7.4-15.5,.479,1.3-4.2,.311,7.4-9.1,.811,4,2005
4,"J.J. Redick, G",DUKE,30,37.1,22.8,6.4-15.2,.420,3.8-9.2,.417,6.2-6.6,.935,5,2005
5,"Rob Monroe, G",QUIN,26,39.1,22.7,6.7-16.3,.409,2.8-7.9,.350,6.6-7.7,.859,6,2005
6,"Bo McCalebb, G",UNO,30,34.9,22.6,8.7-18.1,.480,0.8-3.2,.260,4.4-7.8,.567,7,2005
7,"Ike Diogu, F-C",ASU,31,36.5,22.4,7.1-12.3,.573,0.5-1.4,.386,7.7-9.7,.800,8,2005
8,"Tim Smith, G",ETSU,29,35.9,22.2,8.4-20.0,.423,2.0-5.3,.381,3.3-4.4,.756,9,2005
9,"J.J. Barea, G",NE,30,33.2,22.2,7.8-18.5,.419,2.3-7.1,.321,4.4-5.6,.784,10,2005
10,"Ryan Gomes, F",PROV,31,37.5,21.6,8.0-16.1,.496,1.7-4.4,.380,4.0-5.2,.770,11,2005
11,"Darshan Luckey, G",SFU,28,35.5,21.5,7.6-16.0,.473,1.4-3.5,.398,5.0-6.0,.827,12,2005
12,"Nick Fazekas, F",NEV,30,31.3,21.4,7.2-13.7,.524,1.0-3.0,.344,6.0-7.6,.789,13,2005
13,"Hakim Warrick, F",SYR,33,37.3,21.4,7.4-13.5,.549,0.3-0.9,.300,6.2-9.2,.675,14,2005
14,"Steven Smith, F",LAS,39,39.6,21.0,7.4-16.6,.445,1.3-4.0,.312,4.9-6.2,.798,15,2005
15,"Daryll Hill, G",SJU,27,38.0,20.7,7.4-17.8,.419,1.9-5.3,.357,4.0-5.2,.764,16,2005
16,"Andrew Bogut, C",UTAH,32,34.5,20.7,8.1-12.9,.628,0.2-0.6,.350,4.2-5.8,.728,17,2005
17,"Seamus Boxley, F",PRST,28,36.6,20.6,7.3-12.4,.592,0.5-1.3,.361,5.5-8.0,.680,18,2005
18,"Mike Harris, F",RICE,30,32.4,20.5,7.8-12.8,.607,0.2-0.9,.214,4.7-5.9,.802,19,2005
19,"Paul Millsap, F",LT,29,36.6,20.4,7.8-13.5,.575,0.0-0.0,.000,4.9-8.2,.601,20,2005
20,"Tiras Wade, G",ULL,30,37.1,20.4,7.0-15.0,.467,2.6-6.5,.395,3.9-4.7,.817,21,2005
21,"Omar Thomas, F",UTEP,34,32.0,20.4,7.0-13.6,.515,0.4-0.9,.433,6.0-7.1,.846,22,2005
22,"Dainmon Gonner, F",SEMO,27,37.0,20.3,7.2-15.9,.455,1.5-4.3,.357,4.3-6.3,.686,23,2005
23,"Elton Nesbitt, G",GASO,31,31.5,20.2,6.2-15.6,.400,3.0-8.2,.364,4.7-5.6,.840,24,2005
24,"Wayne Simien, F",KU,25,34.3,20.2,7.3-13.3,.548,0.2-0.6,.286,5.4-6.6,.819,25,2005
25,"John Cox, G-F",SF,29,36.9,19.9,6.8-16.2,.417,2.5-6.9,.365,3.9-5.4,.718,26,2005
26,"Alan Daniels, F",LAM,29,33.2,19.9,7.0-14.9,.469,2.7-7.0,.377,3.2-4.8,.664,27,2005
27,"Travis Diener, G",MARQ,23,34.0,19.7,5.7-13.6,.420,3.0-7.3,.405,5.4-6.4,.838,28,2005
28,"Rawle Marshall, G",OAK,30,36.0,19.7,6.5-14.8,.441,1.2-4.2,.288,5.4-7.4,.738,29,2005
29,"Willie Jenkins, F-C",TNTC,29,33.2,19.7,6.9-15.0,.459,2.0-5.2,.375,3.9-5.2,.753,30,2005
30,"Marquin Chandler, F",SJSU,29,35.0,19.6,7.6-16.2,.471,1.2-3.6,.346,3.1-4.1,.771,31,2005
31,"Steve Burtt, G",IONA,31,36.5,19.3,6.0-14.1,.426,2.6-6.5,.398,4.7-5.5,.843,32,2005
32,"Caleb Green, F",ORU,32,31.8,19.3,6.4-11.4,.563,0.0-0.0,.000,6.4-8.5,.753,33,2005
33,"Peter Mulligan, F",MAN,28,34.3,19.3,6.5-13.9,.465,1.3-3.9,.324,5.1-6.5,.780,34,2005
34,"Glen McGowan, F",PEPP,31,33.3,19.2,6.4-13.6,.466,1.0-3.1,.326,5.5-8.0,.685,35,2005
35,"Mike Bell, F",FAU,27,35.1,19.1,7.6-15.6,.485,1.7-5.3,.329,2.3-4.4,.508,36,2005
36,"Daniel Freeman, G",JMU,4,32.3,19.0,7.0-12.8,.549,2.3-5.0,.450,2.8-4.0,.688,37,2005
37,"Danny Granger, F",UNM,29,29.7,19.0,6.1-11.5,.535,1.5-3.4,.444,5.2-6.8,.758,38,2005
38,"Brandon Cotton, G",DET,22,34.3,18.8,7.0-15.3,.458,1.0-3.3,.306,3.8-5.5,.700,39,2005
39,"Cedrick Banks, G",UIC,29,37.8,18.7,6.3-16.0,.393,2.7-7.6,.353,3.4-4.2,.818,40,2005
40,"Loren Stokes, G",HOF,29,33.6,18.7,6.6-13.6,.486,0.6-1.8,.314,4.9-7.6,.641,41,2005
41,"Dewarick Spencer, G",ARST,29,33.6,18.6,6.4-14.6,.442,2.9-7.4,.389,2.8-3.6,.781,42,2005
42,"Dan Oppland, F",VALP,31,36.0,18.6,6.8-13.1,.520,1.1-2.5,.423,3.9-5.1,.772,43,2005
43,"T.J. Sorrentine, G",UVM,29,36.2,18.6,6.3-15.4,.406,3.6-8.9,.405,2.4-3.0,.802,44,2005
44,"John Reimold, F",BGSU,29,34.4,18.5,6.3-12.0,.523,2.7-6.0,.457,3.2-4.2,.777,45,2005
45,"Adam Morrison, F",GONZ,29,33.9,18.5,7.0-14.2,.494,1.1-3.7,.308,3.3-4.3,.768,46,2005
46,"Harding Nana, F",DEL,31,36.0,18.5,6.5-14.2,.454,1.7-5.4,.319,3.9-5.5,.708,47,2005
47,"Guillermo Diaz, G",MIA,28,34.2,18.5,6.5-14.3,.455,2.0-5.6,.361,3.4-4.8,.716,48,2005
48,"Jerry Johnson, G",RID,30,36.8,18.4,5.7-14.0,.409,3.4-8.7,.392,3.6-4.0,.892,49,2005
49,"Jason Forte, G",BRWN,26,34.3,18.4,5.0-12.3,.405,2.1-5.2,.403,6.3-7.8,.813,50,2005
50,"Salim Stoudamire, G",ARIZ,32,31.1,18.4,5.9-11.4,.516,3.3-6.4,.525,3.3-3.7,.906,51,2005
51,"Bracey Wright, G",IND,25,35.3,18.4,5.7-13.9,.411,1.9-5.8,.331,5.0-6.4,.786,52,2005
52,"Brandon Heath, G",SDSU,29,34.4,18.3,6.1-14.9,.407,1.7-5.2,.318,4.6-5.6,.820,53,2005
53,"Dijon Thompson, G-F",UCLA,27,34.5,18.3,6.4-13.6,.474,1.5-4.0,.374,3.9-5.0,.785,54,2005
54,"Quemont Greer, F",DEP,27,33.5,18.3,6.9-15.1,.455,1.3-3.5,.368,3.3-5.3,.620,55,2005
55,"Carl Landry, F",PUR,25,30.3,18.2,6.4-10.4,.618,0.2-0.7,.222,5.3-7.8,.677,56,2005
56,"Yemi Nicholson, C",DEN,30,30.1,18.2,7.6-13.0,.586,0.0-0.0,.000,2.9-4.3,.688,57,2005
57,"Aaron Bruce, G",BAY,28,34.8,18.2,6.1-13.0,.471,2.5-6.2,.399,3.4-4.1,.828,58,2005
58,"Terrence Leather, F",USF,29,32.5,18.2,6.2-12.5,.500,0.2-0.4,.545,5.5-7.7,.713,59,2005
59,"Anthony Roberson, G",FLA,30,29.7,18.2,6.3-13.3,.473,3.1-7.7,.404,2.5-2.8,.892,60,2005
60,"Leonard Hopkins, G",UNT,28,31.1,18.1,5.6-14.6,.381,1.6-5.4,.296,5.4-6.3,.858,61,2005
61,"Joey Graham, F",OKST,30,31.1,18.1,6.3-11.7,.536,0.8-1.7,.460,4.8-5.4,.890,62,2005
62,"Curtis Withers, F",CHAR,27,32.3,18.1,6.3-13.3,.469,0.8-1.9,.440,4.7-7.1,.667,63,2005
