,PLAYER,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%,RK,YEAR
62,"Khadeen Carrington, G",HALL,3,31.3,21.7,8.0-13.3,.600,3.3-5.0,.667,2.3-5.0,.467,63,2017
63,"Chris Clemons, G",CAMP,3,26.7,21.7,7.7-17.0,.451,3.7-7.3,.500,2.7-3.7,.727,64,2017
64,"Jaylen Adams, G",SBON,2,35.0,21.5,7.0-15.5,.452,2.0-8.5,.235,5.5-8.0,.688,65,2017
65,"Mike Morsell, G",TOWS,2,30.5,21.5,7.0-14.0,.500,1.0-4.5,.222,6.5-11.0,.591,66,2017
66,"Shawn Johnson, G",IW,2,34.0,21.5,7.0-12.5,.560,2.5-6.5,.385,5.0-5.5,.909,67,2017
67,"Ike Smith, G",GASO,2,25.0,21.5,8.5-14.5,.586,0.5-1.5,.333,4.0-5.5,.727,68,2017
68,"T.J. Cromer, G",ETSU,2,27.5,21.5,7.0-13.0,.538,2.0-7.0,.286,5.5-6.5,.846,69,2017
69,"Jimmy Hall, F",KENT,3,29.3,21.3,7.7-13.3,.575,0.0-0.3,.000,6.0-7.3,.818,70,2017
70,"QJ Peterson, G",VMI,3,30.7,21.3,7.0-18.3,.382,2.7-8.0,.333,4.7-5.3,.875,71,2017
71,"Jaylin Airington, F",CSB,3,33.0,21.3,6.7-15.3,.435,3.0-6.3,.474,5.0-6.0,.833,72,2017
72,"Dikembe Dixson, F",UIC,3,28.0,21.3,6.7-13.3,.500,1.0-2.0,.500,7.0-9.0,.778,73,2017
73,"Marlain Veal, G",SELA,3,30.7,21.3,7.0-11.7,.600,1.7-2.7,.625,5.7-7.7,.739,74,2017
74,"Ethan Telfair, G",IDST,3,34.3,21.3,7.7-18.7,.411,2.3-5.3,.438,3.7-7.3,.500,75,2017
75,"Michael Weathers, G",M-OH,4,26.5,21.3,6.5-12.5,.520,0.8-2.0,.375,7.5-9.8,.769,76,2017
76,"Rodney Bullock, F",PROV,3,31.7,21.0,7.3-14.7,.500,2.7-5.7,.471,3.7-4.7,.786,77,2017
77,"Eric Mika, F",BYU,3,24.7,21.0,7.0-11.3,.618,0.0-0.0,.000,7.0-8.7,.808,78,2017
78,"Jonathan Stark, G",MURR,3,34.7,21.0,7.0-15.7,.447,4.0-8.7,.462,3.0-4.3,.692,79,2017
79,"Jaylon Brown, G",EVAN,3,36.3,21.0,8.0-13.7,.585,1.7-4.3,.385,3.3-5.3,.625,80,2017
80,"Tyler Nelson, G",FAIR,3,38.0,21.0,7.0-14.0,.500,1.7-4.3,.385,5.3-6.7,.800,81,2017
81,"Dedric Lawson, G",MEM,3,32.7,21.0,8.0-17.0,.471,1.0-3.3,.300,4.0-6.0,.667,82,2017
82,"Sindarius Thornwell, G",SC,4,31.3,20.8,6.5-14.5,.448,2.5-5.3,.476,5.3-5.8,.913,83,2017
83,"Zach Lofton, G",TXSO,4,32.5,20.8,7.3-19.5,.372,2.5-8.0,.313,3.8-6.3,.600,84,2017
84,"Martez Harrison, G",UMKC,3,32.7,20.7,7.3-13.7,.537,2.0-4.0,.500,4.0-4.7,.857,85,2017
85,"Tayler Persons, G",BALL,3,28.3,20.7,7.7-13.7,.561,2.0-3.3,.600,3.3-4.0,.833,86,2017
86,"Jeremy Hemsley, G",SDSU,3,30.7,20.7,7.7-13.7,.561,3.0-5.0,.600,2.3-3.3,.700,87,2017
87,"Caleb Swanigan, F",PUR,3,32.3,20.7,6.7-11.3,.588,0.7-1.3,.500,6.7-10.3,.645,88,2017
88,"Fred Sims Jr., G",CHS,3,29.3,20.7,8.3-17.7,.472,3.0-6.0,.500,1.0-1.3,.750,89,2017
89,"Torian Graham, G",ASU,4,32.3,20.5,7.8-12.5,.620,3.5-6.8,.519,1.5-1.8,.857,90,2017
90,"Arnaud William Adala Moto, F",TOWS,2,29.5,20.5,7.0-15.0,.467,2.0-4.5,.444,4.5-7.0,.643,91,2017
91,"Brandon Clarke, F",SJSU,2,33.5,20.5,9.0-18.0,.500,0.0-0.5,.000,2.5-3.5,.714,92,2017
92,"JaCorey Williams, F",MTSU,3,23.3,20.3,8.7-15.7,.553,0.3-1.7,.200,2.7-3.0,.889,93,2017
93,"Vic Law, F",NW,3,31.7,20.3,6.7-10.3,.645,3.7-4.7,.786,3.3-5.7,.588,94,2017
94,"Jock Landale, C",SMC,3,27.7,20.3,9.0-12.7,.711,0.0-0.3,.000,2.3-2.7,.875,95,2017
95,"Lamarr Kimble, G",JOES,3,34.7,20.3,7.7-15.7,.489,2.0-6.0,.333,3.0-4.3,.692,96,2017
96,"Lauri Markkanen, F",ARIZ,3,33.0,20.3,6.3-10.7,.594,1.7-3.7,.455,6.0-6.3,.947,97,2017
97,"Josh Hart, G",NOVA,4,31.5,20.3,7.3-12.5,.580,2.3-4.8,.474,3.5-5.3,.667,98,2017
98,"Semi Ojeleye, F",SMU,4,33.5,20.3,6.8-14.0,.482,2.0-4.5,.444,4.8-6.3,.760,99,2017
99,"Eric Fanning, G",BU,3,29.3,20.0,6.3-12.0,.528,0.7-2.0,.333,6.7-9.0,.741,100,2017
