,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP40M,AST/TO,RK
42,"Bryce Alford, G",UCLA,33,36.1,166,5.0,83,2.5,5.6,2.00,43
43,"Kevin Pangos, G",GONZ,34,33.1,170,5.0,46,1.4,6.0,3.70,44
44,"Kris Yanku, G",NAU,32,30.0,160,5.0,97,3.0,6.7,1.65,45
45,"Mikh McKinney, G",SAC,30,37.0,149,5.0,62,2.1,5.4,2.40,46
46,"Kory Holden, G",DEL,29,34.1,144,5.0,95,3.3,5.8,1.52,47
47,"Yogi Ferrell, G",IND,33,34.9,163,4.9,63,1.9,5.7,2.59,48
48,"Mitchell Badillo, G",IW,26,31.2,127,4.9,56,2.2,6.3,2.27,49
49,"Taariq Cephas, G",COPP,31,31.6,151,4.9,69,2.2,6.2,2.19,50
50,"Tre Hagood, G",PV,33,35.0,160,4.8,112,3.4,5.5,1.43,51
51,"Jack Gibbs, G",DAV,24,29.8,116,4.8,57,2.4,6.5,2.04,52
52,"Drew Brandon, G",EWU,33,33.3,159,4.8,62,1.9,5.8,2.56,53
53,"P.J. Hardwick, G",ARST,27,28.7,130,4.8,59,2.2,6.7,2.20,54
54,"Dylan Cox, G",ARMY,30,27.8,144,4.8,75,2.5,6.9,1.92,55
55,"Shane McLaughlin, G",BRY,31,36.7,148,4.8,83,2.7,5.2,1.78,56
56,"London Perrantes, G",UVA,30,33.2,143,4.8,47,1.6,5.7,3.04,57
57,"Shannon Evans II, G",BUFF,32,34.4,151,4.7,82,2.6,5.5,1.84,58
58,"Derrick Wilson, G",MARQ,32,32.9,150,4.7,51,1.6,5.7,2.94,59
59,"DJ Cole, G",YSU,32,32.4,150,4.7,87,2.7,5.8,1.72,60
60,"Bryant McIntosh, G",NW,32,33.3,150,4.7,79,2.5,5.6,1.90,61
61,"Marcus Colbert, G",MTST,30,30.2,140,4.7,93,3.1,6.2,1.51,62
62,"Phillip Leonard, G",MER,33,27.2,153,4.6,62,1.9,6.8,2.47,63
63,"Juwan Staten, G",WVU,27,31.0,125,4.6,53,2.0,6.0,2.36,64
64,"Jarvis Summers, G",MISS,31,29.1,143,4.6,65,2.1,6.3,2.20,65
65,"Marcus Paige, G",UNC,35,32.9,161,4.6,68,1.9,5.6,2.37,66
66,"Zay Jackson, G",SELA,25,36.6,115,4.6,100,4.0,5.0,1.15,67
67,"Steve McWhorter, G",MILW,30,35.0,137,4.6,68,2.3,5.2,2.01,68
68,"Max Guercy, G",RICE,32,33.0,145,4.5,82,2.6,5.5,1.77,69
69,"Rashad Madden, G",ARK,34,27.1,154,4.5,78,2.3,6.7,1.97,70
70,"Kareem Storey, G",MORE,31,30.1,140,4.5,76,2.5,6.0,1.84,71
71,"Cornell Johnston, G",EIU,31,34.6,140,4.5,76,2.5,5.2,1.84,72
72,"Kasey Hill, G",FLA,33,30.3,149,4.5,72,2.2,6.0,2.07,73
73,"Kavon Stewart, G",RMU,32,28.1,144,4.5,82,2.6,6.4,1.76,74
74,"Landon Drew, G",CSN,31,26.4,139,4.5,56,1.8,6.8,2.48,75
75,"Wade Baldwin IV, G",VAN,32,28.7,142,4.4,63,2.0,6.2,2.25,76
76,"Deville Smith, G",UTM,30,35.9,133,4.4,86,2.9,4.9,1.55,77
77,"Jonathan Stark, G",TULN,31,31.8,137,4.4,76,2.5,5.6,1.80,78
78,"Dorrian Williams, G",MOST,29,31.7,128,4.4,80,2.8,5.6,1.60,79
