,GP,MPG,TOPG,AP40M,RK_AST,STP40M,PF,RK_STL,BLKP40M,RK_BLK,PTS,FG%,3P%,FT%,RK_SCO,FGA,3PA,FTA,ORPG,DRPG,RP40,RK_REB,PLAYER,TEAM,allstar
80,3.0,25.0,1.33333333333,0.0,121.0,4.27,4.0,47.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,De'Anthony Melton,USC,False
81,3.0,32.3,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,25.3,0.444,0.632,1.0,14.0,15.0,6.3,8.0,0.0,0.0,0.0,121.0,Deandre Burnett,MISS,False
82,3.0,32.7,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,21.0,0.471,0.3,0.667,82.0,17.0,3.3,6.0,5.3,7.7,15.9,8.0,Dedric Lawson,MEM,False
83,3.0,28.3,2.33333333333,7.5,79.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Deion Lavender,UAB,False
84,3.0,27.0,2.66666666667,9.9,22.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Dejon Jarreau,UMASS,False
85,2.0,33.5,0.0,0.0,121.0,0.0,4.0,121.0,2.39,97.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Denzel Gregg,SBON,False
86,2.0,28.0,1.5,9.3,25.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Denzel Ingram,UNCW,False
87,2.0,33.0,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,2.5,8.5,13.3,31.0,Deontae Hawkins,ILST,False
88,2.0,23.0,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,1.5,9.5,19.1,29.0,Deonte Burton,ISU,False
89,3.0,21.0,0.0,0.0,121.0,0.0,2.0,121.0,3.81,79.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Derek Willis,UK,False
