,GP,MPG,TOPG,AP40M,RK_AST,STP40M,PF,RK_STL,BLKP40M,RK_BLK,PTS,FG%,3P%,FT%,RK_SCO,FGA,3PA,FTA,ORPG,DRPG,RP40,RK_REB,PLAYER,TEAM,allstar
273,26.0,20.3,0.0,0.0,121.0,0.0,75.0,121.0,3.02,95.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Arvid Caldwell,TNST,False
274,30.0,22.5,0.0,0.0,121.0,0.0,104.0,121.0,3.8,55.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Asauhn Dixon-Tatum,AUB,False
275,30.0,31.9,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,18.1,0.555,0.368,0.75,60.0,11.2,2.9,6.1,0.0,0.0,0.0,121.0,Ashley Champion,CHAT,False
276,29.0,37.5,1.98275862069,6.2,26.5,2.345,58.5,42.5,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Ashley Robinson,MVSU,False
277,31.0,29.5,3.12604166667,8.0,24.5,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Ashton Mitchell,SHSU,False
278,30.0,37.6,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,18.0,0.412,0.383,0.859,46.0,14.0,6.9,4.5,0.0,0.0,0.0,121.0,Ashton Moore,CIT,False
279,31.0,30.2,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,17.2,0.387,0.329,0.834,76.0,14.4,5.4,5.1,0.0,0.0,0.0,121.0,Askia Booker,COLO,False
280,24.0,16.8,0.0,0.0,121.0,0.0,59.0,121.0,4.07,76.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Asrangue Souleymane,UNO,False
281,22.0,17.3,0.0,0.0,121.0,0.0,61.0,121.0,3.67,88.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Assane Sene,UVA,False
282,24.0,15.0,0.0,0.0,121.0,0.0,49.0,121.0,4.43,91.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Ater Majok,CONN,False
