,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP40,RK,Year
84,"Michael Carey, G",WAG,2,36.5,9,4.5,10,5.0,19,9.5,10.4,85,2017
85,"Cullen Russo, F",FRES,2,35.5,4,2.0,15,7.5,19,9.5,10.7,86,2017
86,"Kevin Puryear, F",MIZ,2,27.5,1,0.5,18,9.0,19,9.5,13.8,87,2017
87,"Miles Bridges, G",MSU,2,35.0,6,3.0,13,6.5,19,9.5,10.9,88,2017
88,"Killian Tillie, F",GONZ,2,20.0,3,1.5,16,8.0,19,9.5,19.0,89,2017
89,"Emmanuel Nzekwesi, F",ORU,2,31.5,6,3.0,13,6.5,19,9.5,12.1,90,2017
90,"Hassan Martin, F",URI,3,25.0,10,3.3,18,6.0,28,9.3,14.9,91,2017
91,"Eric Carter, F",DEL,3,25.0,9,3.0,19,6.3,28,9.3,14.9,92,2017
92,"Yante Maten, F",UGA,3,34.7,6,2.0,22,7.3,28,9.3,10.8,93,2017
93,"Abdul Lewis, F",NJIT,3,24.7,4,1.3,24,8.0,28,9.3,15.1,94,2017
94,"Seth Dugan, C",WMU,3,22.3,12,4.0,16,5.3,28,9.3,16.7,95,2017
95,"Jordan Murphy, F",MINN,3,28.0,11,3.7,17,5.7,28,9.3,13.3,96,2017
96,"Eli Chuha, F",NMSU,3,21.3,13,4.3,15,5.0,28,9.3,17.5,97,2017
97,"Tyrone O'Garro, F",FDU,2,20.0,4,2.0,14,7.0,18,9.0,18.0,98,2017
98,"Christian Jones, F",UNLV,2,33.0,4,2.0,14,7.0,18,9.0,10.9,99,2017
99,"Jalen Jenkins, F",GMU,2,28.5,11,5.5,7,3.5,18,9.0,12.6,100,2017
