,Draft_Yr,Pk,Tm,PLAYER,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS_per_48,BPM,VORP,2009_POS,2009_TEAM,2009_GP,2009_MPG,2009_PTS,2009_FGM-FGA,2009_FG%,2009_3PM-3PA,2009_3P%,2009_FTM-FTA,2009_FT%,2010_POS,2010_TEAM,2010_GP,2010_MPG,2010_PTS,2010_FGM-FGA,2010_FG%,2010_3PM-3PA,2010_3P%,2010_FTM-FTA,2010_FT%,2011_POS,2011_TEAM,2011_GP,2011_MPG,2011_PTS,2011_FGM-FGA,2011_FG%,2011_3PM-3PA,2011_3P%,2011_FTM-FTA,2011_FT%,2012_POS,2012_TEAM,2012_GP,2012_MPG,2012_PTS,2012_FGM-FGA,2012_FG%,2012_3PM-3PA,2012_3P%,2012_FTM-FTA,2012_FT%,2013_POS,2013_TEAM,2013_GP,2013_MPG,2013_PTS,2013_FGM-FGA,2013_FG%,2013_3PM-3PA,2013_3P%,2013_FTM-FTA,2013_FT%,2014_POS,2014_TEAM,2014_GP,2014_MPG,2014_PTS,2014_FGM-FGA,2014_FG%,2014_3PM-3PA,2014_3P%,2014_FTM-FTA,2014_FT%,2015_POS,2015_TEAM,2015_GP,2015_MPG,2015_PTS,2015_FGM-FGA,2015_FG%,2015_3PM-3PA,2015_3P%,2015_FTM-FTA,2015_FT%,2016_POS,2016_TEAM,2016_GP,2016_MPG,2016_PTS,2016_FGM-FGA,2016_FG%,2016_3PM-3PA,2016_3P%,2016_FTM-FTA,2016_FT%
20,2009,21.0,NOH,Darren Collison,"University of California, Los Angeles",8,496,14600,6258,1324,2408,0.468,0.373,0.851,29.4,12.6,2.7,4.9,31.6,0.104,-0.1,6.9,,,,,,,,,,,,PG,NO,76,27.8,12.4,4.9-10.4,.477,0.6-1.5,.400,1.9-2.3,.851,PG,IND,79,29.9,13.2,5.0-11.0,.457,0.5-1.6,.331,2.6-2.9,.871,PG,IND,60,31.3,10.4,3.8-8.7,.440,0.6-1.6,.362,2.1-2.6,.830,PG,DAL,81,29.3,12.0,4.2-8.9,.471,0.6-1.7,.353,3.0-3.4,.880,PG,LAC,80,25.9,11.4,4.1-8.7,.467,0.9-2.4,.376,2.4-2.8,.857,,,,,,,,,,,,,,,,,,,,,,
21,2009,22.0,POR,Victor Claver,,3,80,1072,258,178,56,0.398,0.293,0.585,13.4,3.2,2.2,0.7,0.2,0.011,-3.3,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2009,23.0,SAC,Omri Casspi,,8,468,10131,3954,1946,550,0.442,0.367,0.677,21.6,8.4,4.2,1.2,15.5,0.073,-1.4,1.5,,,,,,,,,,,,SF,SAC,77,25.1,10.3,3.9-8.7,.446,1.0-2.6,.369,1.5-2.3,.672,SF,SAC,71,24.0,8.6,3.2-7.7,.412,1.3-3.5,.372,1.0-1.4,.673,SF,CLE,65,20.6,7.1,2.6-6.3,.403,0.8-2.6,.315,1.1-1.7,.685,,,,,,,,,,,,SF,HOU,71,18.1,6.9,2.4-5.8,.422,0.9-2.5,.347,1.2-1.7,.680,SF,SAC,67,21.1,8.9,3.1-6.4,.489,0.5-1.3,.402,2.1-2.9,.733,,,,,,,,,,,
23,2009,24.0,DAL,Byron Mullens,Ohio State University,5,189,3446,1398,790,153,0.408,0.319,0.706,18.2,7.4,4.2,0.8,0.6,0.008,-4.6,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,CHA,65,22.5,9.3,3.9-9.1,.425,0.2-0.8,.235,1.4-1.7,.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2009,25.0,OKC,Rodrigue Beaubois,,4,182,2896,1286,338,374,0.439,0.325,0.81,15.9,7.1,1.9,2.1,4.8,0.079,-0.1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2009,26.0,CHI,Taj Gibson,University of Southern California,8,514,12854,4726,3270,514,0.492,0.045,0.692,25.0,9.2,6.4,1.0,34.2,0.128,0.1,6.7,,,,,,,,,,,,PF,CHI,82,26.9,9.0,3.8-7.7,.494,0.0-0.0,.000,1.4-2.1,.646,PF,CHI,80,21.8,7.1,2.9-6.3,.466,0.0-0.1,.125,1.3-1.9,.676,PF,CHI,63,20.4,7.7,3.2-6.4,.495,0.0-0.0,.000,1.3-2.1,.622,,,,,,,,,,,,PF,CHI,82,28.7,13.0,5.2-10.9,.479,0.0-0.1,.000,2.6-3.4,.751,PF,CHI,62,27.3,10.3,4.1-8.2,.502,0.0-0.0,.000,2.1-3.0,.717,PF,CHI,7,26.6,12.1,5.6-10.4,.534,0.0-0.0,.000,1.0-1.4,.700
26,2009,27.0,MEM,DeMarre Carroll,University of Missouri,8,348,7779,2735,1321,399,0.45,0.366,0.72,22.4,7.9,3.8,1.1,18.4,0.114,1.2,6.4,,,,,,,,,,,,SF,MEM,71,11.2,2.9,1.2-3.1,.396,0.0-0.1,.000,0.5-0.7,.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,ATL,73,32.1,11.1,4.1-8.8,.470,1.3-3.7,.362,1.5-1.9,.773,SF,ATL,70,31.3,12.6,4.5-9.3,.487,1.7-4.3,.395,1.8-2.6,.702,SF,TOR,6,26.5,6.2,1.8-6.7,.275,1.2-4.3,.269,1.3-2.0,.667
27,2009,28.0,MIN,Wayne Ellington,University of North Carolina,7,453,8882,3221,959,490,0.411,0.376,0.848,19.6,7.1,2.1,1.1,7.4,0.04,-3.1,-2.5,,,,,,,,,,,,SG,MIN,76,18.2,6.6,2.5-5.9,.424,0.8-2.1,.395,0.8-0.9,.871,,,,,,,,,,,,,,,,,,,,,,,SG,CLE/MEM,78,21.3,7.9,2.9-6.8,.427,1.2-3.1,.392,0.9-1.0,.907,,,,,,,,,,,,SG,LAL,65,25.8,10.0,3.9-9.5,.412,1.4-3.7,.370,0.8-1.0,.813,,,,,,,,,,,
28,2009,29.0,LAL,Toney Douglas,Florida State University,7,370,7117,2892,814,833,0.406,0.36,0.824,19.2,7.8,2.2,2.3,11.6,0.078,-0.6,2.5,,,,,,,,,,,,,,,,,,,,,,,PG,NY,81,24.3,10.6,3.9-9.3,.416,1.8-4.7,.373,1.0-1.3,.794,,,,,,,,,,,,PG,HOU/SAC,71,18.2,7.5,2.6-6.6,.403,1.2-3.0,.380,1.1-1.2,.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2009,30.0,CLE,Christian Eyenga,,2,51,1049,320,137,40,0.411,0.277,0.611,20.6,6.3,2.7,0.8,-0.4,-0.02,-4.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2009,31.0,SAC,Jeff Pendergraph,Arizona State University,6,237,2322,690,632,99,0.553,0.4,0.776,9.8,2.9,2.7,0.4,6.3,0.131,-1.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2009,32.0,WAS,Jermaine Taylor,University of Central Florida,2,65,786,351,108,48,0.441,0.284,0.73,12.1,5.4,1.7,0.7,0.2,0.014,-4.6,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2009,33.0,POR,Dante Cunningham,Villanova University,8,519,10892,3130,1936,375,0.468,0.283,0.65,21.0,6.0,3.7,0.7,17.6,0.078,-1.2,2.3,,,,,,,,,,,,,,,,,,,,,,,PF,POR/CHA,78,21.0,6.2,2.8-6.1,.462,0.0-0.2,.077,0.6-0.8,.726,PF,MEM,64,17.6,5.2,2.3-4.4,.516,0.0-0.0,.000,0.7-1.1,.652,PF,MIN,80,25.1,8.7,3.9-8.4,.468,0.0-0.1,.000,0.8-1.3,.650,PF,MIN,81,20.2,6.3,2.9-6.3,.465,0.0-0.1,.000,0.5-0.8,.567,PF,NO,66,25.0,5.2,2.3-5.1,.457,0.0-0.2,.100,0.4-0.7,.617,PF,NO,7,22.3,6.1,2.3-5.6,.410,1.3-3.0,.429,0.3-0.7,.400
33,2009,34.0,DEN,Sergio Llull,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2009,35.0,DET,DaJuan Summers,Georgetown University,4,83,820,278,82,29,0.384,0.367,0.642,9.9,3.3,1.0,0.3,-0.1,-0.008,-6.4,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
